Journal,Pub. Year,Pub. Date,Reviewer,Reviewer Gender,Book,Author,Author Gender,Press,Link
Drunken Boat,13,07.16.2013,Nathan Hauke,Male,N18 (Complete),Hank Lazer,Male,Singing Horse Press,http://www.drunkenboat.com/db17/n18-complete
Drunken Boat,13,07.16.2013,Ishion Hutchinson,Male,Whitethorn,Jacqueline Osherow,Female,LSU Press,http://www.drunkenboat.com/db17/whitethorn
Drunken Boat,13,07.16.2013,Elisabeth Whitehead,Female,Pier,Janine Oshiro,Female,Alice James Books,http://www.drunkenboat.com/db17/pier
Drunken Boat,13,07.16.2013,Michelle Chan Brown,Female,Red Army Red,Jehanne Dubrow,Female,Triquarterly Press,http://www.drunkenboat.com/db17/red-army-red
Drunken Boat,13,07.16.2013,Pepper Luboff,Female,fault tree,Kathryn L. Pringle,Female,Omnidawn Publishing,http://www.drunkenboat.com/db17/fault-tree
Drunken Boat,13,07.16.2013,Andrew Najberg,Male,In the Futurity Lounge / An Asylum for Indeterminacy,Marjorie Welish,Female,Coffee House Press,http://www.drunkenboat.com/db17/futurity-lounge-asylum-indeterminacy
Drunken Boat,13,07.16.2013,Caryl Pagel,Female,We Have With Us Your Sky,Melanie Hubbard,Female,Subito Press,http://www.drunkenboat.com/db17/we-have-us-your-sky
Drunken Boat,13,07.16.2013,Joan Retallack,Female,per se,P. Inman,Male,Burning Deck,http://www.drunkenboat.com/db17/se
Drunken Boat,13,07.16.2013,Jennifer Jean,Female,Threshold Songs,Peter Gizzi,Male,Wesleyan University Press,http://www.drunkenboat.com/db17/threshold-songs
Drunken Boat,13,07.16.2013,Valerie Wetlaufer,Female,Between the Crackups,Rebecca Lehmann,Female,Salt Publishing,http://www.drunkenboat.com/db17/between-crackups
Iowa Review,12,03.05.2012,TaraShea Nesbit,Female,not merely because of the unknown that was stalking toward them,Jenny Boully,Female,Tarpaulin Sky Press,http://iowareview.uiowa.edu/reviews/mar-05-2012/jenny_boullys_not_merely_because
Iowa Review,12,04.17.2012,Christopher Prewitt,Male,Each Breath I Cannot Hold,George Eklund,Male,Wind Publications,http://iowareview.uiowa.edu/reviews/apr-17-2012/george_eklund_s_each_breath_i_cannot_hold
Iowa Review,12,05.10.2012,Nick Ripatrazone,Male,Instructions for Killing the Jackal,Erica Wright,Female,Black Lawrence Press,http://iowareview.uiowa.edu/reviews/may-10-2012/erica_wrights_instructions_for_killing_the_jackal
Iowa Review,12,06.19.2012,Angela Veronica Wong,Female,Phyla of Joy,Karen An-Hwei Lee,Female,Tupelo Press,http://iowareview.uiowa.edu/reviews/jun-19-2012/karen_anhwei_lees_phyla_of_joy
Iowa Review,12,07.18.2012,Tim Wood,Male,Declaration for Your Bones,Duane Esposito,Male,Yuganta Press,http://iowareview.uiowa.edu/reviews/jul-18-2012/duane_esposito_s_declaration_for_your_bones
Iowa Review,12,07.31.2012,Matt Miller,Male,Helsinki,Peter Richards,Male,Action Books,http://iowareview.uiowa.edu/reviews/jul-31-2012/peter_richardss_helsinki
Iowa Review,12,08.14.2012,Karen An-Hwei Lee,Female,Year of Reversible Loss,Norma Farber,Female,El Leon Literary Arts,http://iowareview.uiowa.edu/reviews/aug-14-2012/norma_farbers_year_of_reversible_loss
Iowa Review,12,08.29.2012,Robert McNamara,Male,Mania Klepto: The Book of Eulene,Carolyne Wright,Female,Turning Point Books,http://iowareview.uiowa.edu/reviews/aug-29-2012/carolyne_wrights_mania_klepto
Iowa Review,12,09.12.2012,Rebecca van Laer,Female,Spitshine,Anne Marie Rooney,Female,Carnegie Mellon University Press,http://iowareview.uiowa.edu/reviews/sep-12-2012/anne_marie_rooneys_spitshine
Iowa Review,13,01.22.2013,Micah Bateman,Male,Mule,Shane McCrae,Male,Cleveland State University Poetry Center,http://iowareview.uiowa.edu/reviews/jan-22-2013/shane_mccrae_s_mule
Iowa Review,13,02.19.2013,Virginia Konchan,Female,After Urgency,Rusty Morrison,Female,Tupelo Press,http://iowareview.uiowa.edu/reviews/feb-19-2013/rusty_morrisons_after_urgency
Iowa Review,13,03.07.2013,Rebecca Morgan Frank,Female,My Scarlet Ways,Tanya Larkin,Female,Saturnalia Books,http://iowareview.uiowa.edu/reviews/mar-07-2013/tanya_larkins_my_scarlet_ways
Iowa Review,13,03.19.2013,Julie Marie Wade,Female,Blowout,Denise Duhamel,Female,University of Pittsburgh Press,http://iowareview.uiowa.edu/reviews/mar-19-2013/denise_duhamels_blowout
